price,title,tags
19.99,新流星搜劍錄,"Action, Massively Multiplayer, Fighting, RPG,"
0,Modern Combat Versus,"Free to Play, Multiplayer, FPS, Action,"
0,War Planet Online: Global Conquest,"Free to Play, Massively Multiplayer, Strategy, PvP,"
0,Just Fishing,"Free to Play, Simulation, Fishing, Massively Multiplayer,"
39.99,OrbusVR,"Early Access, Massively Multiplayer, Indie, RPG,"
9.99,Grey Hack,"Early Access, Simulation, Indie, Massively Multiplayer"
0.59,Deadly Escape,"Indie, Action, Gore, Pixel Graphics,"
16.99,DESOLATE,"Early Access, Violent, Adventure, Horror,"
22.49,Attack of the Earthlings,"Strategy, Indie, Turn-Based Strategy, Comedy,"
4.19,Atoms,"Strategy, Action, Adventure, Indie,"
0,Ancestors Legacy Multiplayer Open Beta,"Gore, Strategy, Violent, Multiplayer,"
9.99,Silent Descent,"Adventure, Indie, Action, Gore,"
25.49,Sairento VR,"Action, VR, Gore, Violent,"
4.99,Seven Mysteries: The Last Page,"Adventure, RPG, Indie, Gore,"
0.99,"Object ""Cleaning""","Indie, Gore, Violent,"
1.99,Yoltrund,"Early Access, Adventure, Indie, Gore,"
7.99,Versus World,"Early Access, Action, Indie, Gore,"
14.99,Remothered: Tormented Fathers,"Action, Horror, Nudity, Violent,"
24.99,SURV1V3,"Early Access, Gore, VR, Violent,"
9.99,The Apartment,"Violent, Gore, Indie, Adventure,"
26.99,Warhammer: Vermintide 2,"Action, Gore, Violent, Indie"
14.99,BREAK ARTS II,"Racing, Indie, Action, Robots,"
22.49,Attack of the Earthlings,"Strategy, Indie, Turn-Based Strategy, Comedy,"
10.49,Laser League,"Early Access, Indie, Sports, Multiplayer,"
5.99,Armored Evolution,"Early Access, Indie, Action, Casual,"
14.99,Scavenger SV-4,"Action, Adventure, Indie, Simulation,"
0,MatchyGotchy,"Indie, Simulation, Casual, Free to Play,"
7.99,The Communist Dogifesto,"Action, Indie, Shooter, Exploration,"
14.99,Tesla vs Lovecraft,"Indie, Action, Lovecraftian, Top-Down,"
9.99,Scrapper,"Action, Indie, Casual, Sci-fi,"
0.99,Infinity Escape,"Indie, Casual, Action, Space,"
24.99,Subnautica,"Survival, Open World, Exploration, Underwater,"
9.99,Blast-off,"Action, Indie, Arcade, Futuristic,"
5.99,Phantom Signal — Sci-Fi Strategy Game,"Strategy, Casual, Simulation, Space,"
4.99,Odysseus Kosmos and his Robot Quest: Episode 1,"Indie, Point & Click, Adventure, 2D,"
0,SCP: Secret Laboratory,"Free to Play, Horror, Multiplayer, Action"
0.99,Lost In Space,"Indie, Casual, Racing,"
0.59,Cute Hedgehog,"Adventure, Indie, Casual, Simulation,"
1.49,Containment,"Strategy, Indie, Casual, Simulation,"
0,Carried Away: Winter Sports,"Indie, Casual, Simulation, Singleplayer,"
13.49,Flying Turkey,"Action, Indie, Casual, Simulation,"
0,Robin,"Free to Play, Simulation, Indie, Casual,"
8.99,The Painter's Playground,"Casual, Indie, Simulation,"
4.99,Monster Garden,"Adventure, Indie, RPG, Casual,"
11.84,Octogeddon,"Casual, Action, Strategy, Indie,"
6.29,Comrades and Barons: Solitaire of Bloody 1919,"Strategy, Indie, Casual, War,"
12.99,Kitty Powers' Love Life,"Simulation, Casual, Indie,"
2.99,ARENA 3D,"Early Access, Indie, Casual, Action,"
4.19,Atoms,"Strategy, Action, Adventure, Indie,"
0.74,Space Rocket,"Indie, Casual,"
1.19,Viki Spotter: Undersea,"Indie, Casual,"
3.49,MEANDERS,"Casual, Puzzle, 3D Platformer, Adventure,"
13.49,Samsara,"Casual, Indie, Strategy, Puzzle,"
0.59,Favorite Miner,"Adventure, Indie, Casual, Simulation,"
0.79,President Trump The Way In Uganda,"Indie, Adventure, Casual,"
2.69,Icky,"Strategy, Action, Indie, Casual"
